uf_code,uf_name,mesoregion_code,mesoregion_name,microregion_code,microregion_name,city_code,city_complete_code,city_name
15,PA,1,Baixo Amazonas,2,Santarém,4802,1504802,MONTE ALEGRE
15,PA,2,Marajó,6,Arari,4901,1504901,MUANÁ
15,PA,4,Nordeste Paraense,13,Guamá,4950,1504950,NOVA ESPERANÇA DO PIRIÁ
15,PA,6,Sudeste Paraense,16,Tucuruí,4976,1504976,NOVA IPIXUNA
15,PA,4,Nordeste Paraense,10,Bragantina,5007,1505007,NOVA TIMBOTEUA
15,PA,5,Sudoeste Paraense,14,Itaituba,5031,1505031,NOVO PROGRESSO
15,PA,6,Sudeste Paraense,16,Tucuruí,5064,1505064,NOVO REPARTIMENTO
15,PA,1,Baixo Amazonas,1,Óbidos,5106,1505106,ÓBIDOS
15,PA,4,Nordeste Paraense,11,Cametá,5205,1505205,OEIRAS DO PARÁ
15,PA,1,Baixo Amazonas,1,Óbidos,5304,1505304,ORIXIMINÁ
15,PA,4,Nordeste Paraense,13,Guamá,5403,1505403,OURÉM
15,PA,6,Sudeste Paraense,18,São Félix do Xingu,5437,1505437,OURILÂNDIA DO NORTE
15,PA,5,Sudoeste Paraense,15,Altamira,5486,1505486,PACAJÁ
15,PA,6,Sudeste Paraense,20,Marabá,5494,1505494,PALESTINA DO PARÁ
15,PA,6,Sudeste Paraense,17,Paragominas,5502,1505502,PARAGOMINAS
15,PA,6,Sudeste Paraense,19,Parauapebas,5536,1505536,PARAUAPEBAS
15,PA,6,Sudeste Paraense,21,Redenção,5551,1505551,PAU D'ARCO
15,PA,4,Nordeste Paraense,10,Bragantina,5601,1505601,PEIXE-BOI
15,PA,6,Sudeste Paraense,21,Redenção,5635,1505635,PIÇARRA
15,PA,1,Baixo Amazonas,2,Santarém,5650,1505650,PLACAS
15,PA,2,Marajó,6,Arari,5700,1505700,PONTA DE PEDRAS
15,PA,2,Marajó,4,Portel,5809,1505809,PORTEL
15,PA,1,Baixo Amazonas,3,Almeirim,5908,1505908,PORTO DE MOZ
